id,tweet,label
0, I like too many songs to have a favorite,0
7279, I used to study French and German at school  but I didn't like them so I didn't pay too much attention lol. Hence why I didn't continue them at later stages in my school life  I chose Art  Music  IT and Graphics instead :D Still methods of communications right? :D,0
7280, Candles :) Candles look AMAZINGGGG! Especially if its dark out  and thats the only form of light <33333333,0
7281, Lollipop :) Especially seeing as we don't have Candy Canes here...I don't think anyway :/,0
7282, Go for it :),0
7283, Carrrrrr! Especially my Car! :D Its really beautiful with the top down on a hot summers day! <333333 Much more than a horse could give you :) Plus  it gets you places  which today  is rather useful :),0
7284, Oh we already covered this  not over formspring ;),0
7285, I take it you mean flooring? Wood :),0
7286, Cheddar. The longer the word  the better :),0
7287, CHOCOLATE! But Vanilla ice cream :),0
7288, Hmmm  Im going to say  whatever you wanted to put into it :) They are your creation  and anything you make me will be DELICIOUS! <3333 Thank you by the way. I feel I should bake some in return  but its going to be nothing in comparisment  and I would probably embarrass myself :P,0
7289, Clubs :) Especially if you are out to let loose a little. I don't have much confidence so when I have been drinking (not loads) just enough to increase my confidence a bit :) Bars  I find a bit....slow? lol Also  going to a club with a partner (not that I have recently  or ever properly :S) but its a nice feeling :) More so than a bar I think :),0
7290, I can... http://kellyblake1.livejournal.com/1641.html There are about 20+ chapters  so continue through my journal to read if you wish :),0
7291, haha! With a lover  ummmm. Completely depends on where we were going  I mean  somewhere known for activities in a cold climate  then cold. I mean  how long can you actually spend on a beach or sunbathing? Its boriiiiiiiiing lol.,0
7292, If it was a random holiday  probably hot :),0
7293, You guessed right! :) Blue to be exact. Favourite colour <333333,0
7294, I probably will sometime XD,0
7295, Romance  but then it reminds me about me being single. Comedy :) lol,0
7278, I can't really no  don't smoke. Don't need to :)  Im sure your fingers must come in handy then :P lol,0
7296, Bed <33333 Couch isn't the most comfiest of places  and a bed just fits all needs ;),0
7277, Indeed I can! been playing for over a decade now XD,0
7275, I don't know if I can handle truthful things sometimes  but I would rather know it :),0
7258, omg  what is it with you and these questions :P Haha  I would say cremated? So my loved one can still keep me I suppose  but being burnt  even if you are dead  its still pretty scary :S I don't have a clue!,0
7259, I didn't either. Then stay in bed :) Do you need to be up for something? If not  stayyyyyyy in bed :),0
7260, ...and some people like both.,0
7261, Well of course :D They are blind because their eyes don't work properly yeah? Wellll  dreams are behind the eye. So they don't even need their eyes :P,0
7262, That was a question  but I will allow another  seeing as this is a question blog ;),0
7263, Considering the next questions in line were  &quot;Would you like me to assign someone to butter your muffin?&quot; and &quot;Is your muffin buttered?&quot;. I may decline. But thank yourself for the offer...,0
7264, Welllllllllll  no.,0
7265, Like this for example...,0
7266, Why not? :) Depending on where im off to of course :P,0
7267, Go for it!!! Im going to rent a place  or my parents are gonna buy something  then we will sell it after. The school is right in the centre  so thats where im staying! WAHOOO!!,0
7268, It can spark creativity  but it depends whether you are stable enough to project it in the right ways. All in all  stay sane  stay projective :),0
7269, If you want to. I don't even have a flat yet  so at the moment  we are all crashing on the wonderful location of outside floor tiles :),0
7270, Hmmmmm....Im not sure. I have scenes from episodes that I love  but Episode 2 of Season 4 is pretty up there. Even if it is very angsty :S,0
7271, Ohhhhh yeah! I was totally going to add you! LOL! The Messenger service I use on my mac doesnt allow me to add people (for some odd reason) I need to add you on my PC  then transfer back to my mac. When im on there  I shall add you :),0
7272, HAHAHA! Well  first of all. Thanks :) I will see what I can do ;),0
7273, Its trickery of the question...,0
7274, &quot;You follow me on Twitter and you are friends with me on Facebook&quot;? Thats like  LOADS of people lol! Ummm  Louise? :/,0
7276, Yeah  I can actually. I have been playing the piano and drums FAR too long! About 10 years for drums and 14ish for piano :),0
7257, bunnies :) They are fluffy and cuddly and everyone loves fluff and cuddles ;),0
7297, Yelling. Because usually crying is painful  yelling can kind of be a denial thing  which isn't so painful :),0
7299, Dark  even though its the hardest to keep on top of  I think dark nails can look gorgeousssss :D,0
7321, Yeah  I think they do. It depends on how much you can relate to that person  there is someone out there who I think my mind relates to prettttttttttty well  and they know who they are :P,0
7322, Did you mean  &quot;do I ever&quot;? In which case  yes I do. I type &quot;lol&quot; FAR too often! Along with &quot;lame&quot; and &quot;cool&quot;. I need to stop using these words. NEEEEEED TO STOP!!!! ITS GETTING LAME!!! COOL? ;),0
7323, Of course. How else do they hear?,0
7324, I bite my nails on occasion  but only if im nervous or something. Bad habits  bad habits  bad habits  ermmmmmm...I don't know if its a habit  but when I get into bed at night  I HAVE to clean the bottom of my feet and/or socks  just in case there is any dirt or anything I have picked up off of the floor. LOL  that may be more of an OCD thing  but I can't get into bed thinking that my feet may be dirty lol.,0
7325, Of course they don't. What's the point in getting dressed? I think they all have bets on to see who wears the best underwear ;),0
7326, I think I am mature for my age  but sometimes I could be spotted being idiotic  which really isn't my age. It depends on what mood im in. I get hyper pretty easily  but I won't show it unless im comfortable with the people I am around. If im with family and close friends  STUPID KELLY COMES OUT :D,0
7327, I am indeed  and I do actually know :) They include just the film and the ending credits. 90 minutes is considered a feature film  so anything WAYYY less  is a phoney excuse for a film :P,0
7328, I actually don't...yet. I want a flower/ivy thing on my foot though  something tasteful :),0
7329, Garry Baldis??? HAHA! Garibaldis? I actually eat garibaldis on a daily basis :P There is about 3 packets in my drawer :) As for biscuits  certain ones yeah. Not the crappy digestive or &quot;nice&quot; ones or anything  cool ones that contain chocolate :P,0
7330, Well yeah! You're awesome! Only one problem  who are you? :) <333,0
7331, Who are you?,0
7332, haha not at all :) Randomness is good :),0
7333, Proper ones shouldn't. It's all in the label...,0
7334, I have never had cereal with warm milk actually. Any good?,0
7335, YES I DO!!!! ;),0
7336, I don't think i have ever had that if im honest. I have had it  where you have had a conversation or moment with someone  and then everytime you meet  speak to or see them again  you expect that same 'connection' thing to happen  and when it doesn't  you are utterly disappointed :(,0
7337, I don't really no. I don't think things can be moved or changed due to someones will. If you mean magic in the sense of chemistry between 2 people  then hell yessssss :P,0
7320, Sand :) although I don't really want either lol,0
7298, Laura Williams :) Year 7 at school :D,0
7319, non-digital :P Analogue yeah? I think clocks can be really pretty and expressive  but digital is so literal  where is the love???? lol,0
7317, I MISSED YOU!!!! *Cries uncontrollably* :(,0
7300, Can I do a Skins relation? lol Emily :) She is  to me  the PERFECT girlfriend! Yeah  she can sometimes be a little much or suffocating  but its only because she cares about the girl that she loves. As for looks  I don't really date someone based on their looks. Its about personality for me. Obviously I need that initial attraction  but I don't have a 'type' as such to fall for :),0
7301, Best kiss? You mean as in my kissing style?  Well I prefer kind of sensual kisses? As in (I can't believe I am describing my kissing style LOL) slower and meaningful ones? Obviously to keep a relationship alive then it needs to be varied but Im not a big fan of kisses where the other person sticks their tongue down your throat :S Especially if its really forceful and you aren't in 'that' kind of mood. You know what I mean? :S How about you anyway? :P This was an awkward question  im returning it :P,0
7302, Druken Master ;) I am a pro at my fights ;) HAHA,0
7303, Drunk :'( Well  girl or guy?  Girl wasn't really much  and the guy  drunk :P lol!,0
7304, HAHAHAHA! Well you would have to just wait and see ;) HAHA I can't believe I just wrote that! I don't know really  I mean I have never really made it  so I suppose  a pout and a wink with a nice snarl ;) haha. Joking again :P Ummm  I dunno really. It would vary from time to time :) How about yours?,0
7305, HAHA! Go for it if you really want to ;) lol I don't mind answering :P My favourite necklace? Ummm  I don't know if I really have one if im honest. Im one of those people who would like to own a lot of something (eg jewellery) than have one really expensive item. I do have one necklace that I REALLY love! Its from Urban Outfitters  and its a little gold envelope  that has a letter inside saying &quot;Cest La Vie&quot; meaning &quot;This is life&quot; or &quot;That's life&quot; in French :),0
7306, HAHAHAHAAHAHAHAHAHAHA!!!!! No comment... :P,0
